Company,Valuation,Date Joined,Country,Industry,Address,latitude,longitude,Select Investors
Decolar,1,3/10/15,Argentina,Internet Software & Services,Buenos Aires,-34.6036844,-58.3815591,"Sequoia Capital, TPG capital, Accel Partners"
Hootsuite,1,9/25/14,Canada,Internet Software & Services,"845 Malcolm Rd, Burlingame, CA 94010",37.5998479,-122.3715762,"Accel Partners, OMERS Ventures, Insight Venture Partners"
Kik Interactive,1,8/18/15,Canada,Social,"420 Weber Street North, Suite I, Waterloo, Ontario, N2L 4E7 Canada",43.4857842,-80.5286235,"Union Square Ventures, RRE Ventures, Spark Capital"
Panshi,1,5/5/15,China,Adtech,Xiangyuan Rd 45 Gongshu District Hangzhou,30.336225,120.114454,"WI Harper Group, Fang Fund Partners, NewMarging Ventures"
Trendy Group International,2,2/13/12,China,Clothing & Accessories,"UNIT B, 18/F., GEMSTAR TOWER, 23 MAN LOK STREET, HUNGHOM, KOWLOON, HONG KONG",22.3093155,114.1897721,L Capital Partners
China Internet Plus Holding,15,12/22/15,China,eCommerce/Marketplace,"Minhang, Shanghai, China",31.112818,121.381716,"DST Global, Trustbridge Partners, Capital Today"
VANCL,3,12/14/10,China,eCommerce/Marketplace,"Luhua Rd, Daxing Qu, Beijing, China",39.7937021,116.4707213,"Ceyuan Ventures, QiMing Venture Partners, Temasek Holdings"
Koudai Gouwu,1.4,10/23/14,China,eCommerce/Marketplace,Beijing,39.904211,116.407395,"New Enterprise Associates, Tiger Global management, Tencent"
Tujia,1,6/17/15,China,eCommerce/Marketplace,Jiuxianqiao Zhonglu Chaoyang District Beijing 100015,39.9765043,116.4955243,"GGV Capital, QiMing Venture Partnersl"
Fanli,1,4/20/15,China,eCommerce/Marketplace,Shanghai,31.230416,121.473701,"QiMing Venture Partners, Steam boat Ventures"
BeiBei,1,1/22/15,China,eCommerce/Marketplace,"Junye Minsheng Rd, Jianggan, Hangzhou, Zhejiang, China",30.2705149,120.2009388,"Banyan Capital, New Horizon Capital, IDG Capital Partners"
iwjw.com,1,5/6/15,China,eCommerce/Marketplace,Shanghai,31.230416,121.73701,"Morningside Group, GGV Capital, Banyan Capital"
Jiuxian,1.05,7/30/15,China,eCommerce/Marketplace,"Tongzhou, Beijing, China",39.909946,116.656435,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth"
TutorGroup,1,11/18/15,China,Ed Tech,"Taipei, Taiwan",25.0329694,121.5654177,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
Lufax,10,12/26/14,China,Fintech,"Lujiazui, Shanghai, China",31.239879,121.499674,Ping An Insurance
China Rapid Finance,1,7/29/15,China,Fintech,"480 Songhong Rd, Changning, Shanghai, China, 200335",31.2178712,121.3586527,"Broadline Capital, UBS"
Rong360,1,10/12/15,China,Fintech,"113 Zhichun Road, Beijing, China",39.975151,116.33693,"Sequoia Capital China, Sailing Capital, Star VC"
Xiaomi,46,12/21/11,China,Hardware,"Haidian District, Beijing, China",39.959912,116.298055,"Digital Sky Technologies, QiMing Venture Partners, Qualcomm Ventures"
DJI Innovations,10,5/6/15,China,Hardware,"Gao Xin Nan Si Dao, Nanshan Qu, Shenzhen Shi, Guangdong Sheng, China",22.5362854,113.9498135,"Accel Partners, Sequoia Capital"
Zhangyue,1,1/4/16,China,Hardware,"Nanyuanxiang, Fengtai, Beijing China 100075",39.835517,116.401884,"Guo Jin Capital, Alpha Animation & Culture"
Dada,1,1/5/15,China,Hardware,"Shangzhuangzhen, Haidian, Beijing China 102202",40.096108,116.215483,"Sequoia Capital China, DST, Greenwoods Asset Management"
GuaHao,1.5,9/22/15,China,Healthcare,"Xiaoshan, Hangzhou, Zhejiang, China",30.183806,120.264253,"Tencent, Morningside Group"
Apus Group,1,1/16/15,China,Mobile Software & Services,"Shunyi, Beijing, China",40.130347,116.654651,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
Didi Kuaidi,15,12/31/14,China,On-Demand,Beijing,39.04211,116.407395,"Matrix Partners, Tiger Global Management, Softbank Corp.,"
Ele.me,4.5,8/28/15,China,On-Demand,Shanghai,31.230416,121.473701,"Sequoia Capital China, GSR Ventures, Horizons Ventures"
Ucar Group,3.6,7/2/15,China,On-Demand,"Changning, Shanghai",31.220367,121.424624,"Legend Capital, Warburg Pincus"
Xuanyixia,1,11/24/15,China,Social,"Ruipu Mansion, Chaoyang, Beijing, China",40.0335112,116.4259361,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures"
Mogujie,1,6/6/14,China,Social,"Tianmushan Road No.338 Unit, Xihu, Hangzhou, Zhejiang, China",30.272341,120.122457,"IDG Capital Partners, QiMing Venture Partners, Banyan Capital"
AVAST Software,1,2/5/14,Czech Republic,Cybersecurity,"9300 Harris Corners Pkwy, Charlotte, NC 28269",35.3458812,-80.8466717,"Summit Partners, CVC Capital Partners"
BlaBlaCar,1.6,9/16/15,France,On-Demand,"32 Rue Blanche, 75009 Paris, France",48.8788866,2.3316096,"Accel Partners, Index Ventures, Insight Venture Partners"
Delivery Hero,3.1,11/3/14,Germany,eCommerce/Marketplace,Mohrenstraíôe 60 10117 Berlin Germany,52.5121182,13.3878434,"Rocket Internet, Phenomen Ventures, Insight Venture Partners"
Hellofresh,2.9,9/17/15,Germany,eCommerce/Marketplace,"Saarbrí_cker Str. 37A, 10405 Berlin, Germany",52.52877,13.41602,"Rocket Internet, Phenomen Ventures, Insight Venture Partners"
Auto1 Group,1.2,8/3/15,Germany,eCommerce/Marketplace,"Greifswalder Str. 207, 10405, Berlin, Germany",52.53297,13.42837,"Digital Sky Technologies, Piton Capital, DN Capital"
Home24,1.03,6/1/15,Germany,eCommerce/Marketplace,"Greifswalder Straíôe 212-213, Berlin, 10405, Germany",52.5320508,13.42785,"Rocket Internet, JP Morgan Chase & Co."
Flipkart,15,8/6/12,India,eCommerce/Marketplace,"6/B, Mahatyagi Laksmidevi Rd, Koramangala 1A Block, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034, India",12.92745,77.6327243,"Accel Partners, Digital Sky Technologies, Iconiq Capital"
Snapdeal,2.5,5/21/14,India,eCommerce/Marketplace,"246, Okhla Industrial Estate, Phase-III, Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi 110020, India",28.5514431,77.2693297,"Intel Capital, Kalaari Capital, Nexus Venture Partners"
Shopclues,1.1,1/12/16,India,eCommerce/Marketplace,"Building No. 112, Sector - 44, Sector 45, Gurgaon, Haryana 122001, India",28.4280102,77.0987363,"Nexus Venture Partners, GIC Special Investments, Tiger Global Management"
Quikr,1,4/7/15,India,eCommerce/Marketplace,"Office No. 6, 1st Floor, Raghuvanshi Mansion, Senapati Bapat Marg, Near Phoenix Mall, Lower Parel, Gandhi Nagar, Upper Worli, Worli, Mumbai, Maharashtra 400013, India",18.9931836,72.8228665,"Tiger Global Management, Norwest Venture Partners"
One97 Communications,2,5/12/15,India,Fintech,"B-121, B Block, Sector 5, Noida, Uttar Pradesh 201301, India",28.5892089,77.3220325,"Intel Capital, Sapphire Ventures, Alibaba Group"
Olacabs,5,10/27/14,India,On-Demand,"Golf View Campus, No 24, Murugeshpalya, Rustam Bagh Layout, Bengaluru, Karnataka 560017, India",12.953445,77.650168,"Accel Partners, Matrix Partners, Sequoia Capital"
Zomato Media,1,4/10/15,India,Social,"Sector 44 Rd, Sector 44, Gurgaon, Haryana 122003, India",28.4505762,77.0750691,"Sequoia Capital, VY Capital"
Infinidat,1.2,4/29/15,Israel,Hardware,"Akerstein Tower A, 9 Hamenofim Street, Hertzeliya Pituach, 46725 Israel",32.160391,34.807828,TPG Growth
ironSource,1.5,8/11/14,Israel,Mobile Software & Services,"28 Lilienblum, Tel Aviv, 6513307",32.0622038,34.7705045,"Access Industries, Clal Industries and Investments"
Global Fashion Group,3.43,4/8/15,Luxembourg,eCommerce/Marketplace,"5, Heienhaff Seningerberg Luxembourg, 1736 Luxembourg",49.636123,6.220243,"Access Industries, Rocket Internet, Tengelmann Ventures"
Adyen,2.3,12/16/14,Netherlands,Fintech,"274 Brannan St #600, San Francisco, CA 94107",37.7825822,-122.3917644,"Felicis Ventures, Index Ventures, Temasek Holdings"
Skyscanner,1.6,1/12/16,Scotland,Internet Software & Services,"Quartermile One, 15 Lauriston Pl, Edinburgh, Midlothian EH3 9EN, United Kingdom",55.944737,-3.1955347,"Sequoia Capital, Scottish Equity Partners, Yahoo"
InMobi,1,12/2/14,Singapore,Adtech,"#25-01, OCBC CENTER,, 65 Chulia St, Singapore 049513",1.2854622,103.8492265,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
GrabTaxi,1.5,12/4/14,Singapore,On-Demand,"MidView City, #01-131/132/142/143, 28 Sin Ming Ln, Singapore 573972",1.36001,103.8341669,"GGV Capital, Vertex Venture Holdings, Softbank Corp."
Coupang,5,5/28/14,South Korea,eCommerce/Marketplace,"736-6 Yeoksam-dong, Gangnam-gu, Seoul, South Korea",37.4999802,127.035465,"Sequoia Capital, Founder Collective, Wellington Management"
Yello Mobile,4,11/11/14,South Korea,Mobile Software & Services,"139 Dosan-daero, Gangnam-gu, Ò‹ìÒ_ŸÕ__Ô_‹Ò†ì, South Korea",37.5182127,127.0237111,Formation 8
Klarna,2.25,12/12/11,Sweden,Fintech,"Kungsí_ngsgatan 17, 753 22 Uppsala, Sweden",59.8567224,17.6420755,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Spotify,8.53,6/17/11,Sweden,Internet Software & Services,"988 Market St, San Francisco, CA 94109",37.7827325,-122.4103063,"Horizons Ventures, Norwest Venture Partners, Technology Crossover Ventures"
Lazada,1.25,11/30/14,Thailand,eCommerce/Marketplace,"639 Sukhumvit Rd, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",13.7310012,100.569294,"Tengelmann Ventures, Rocket Internet, Summit Partners"
Farfetch,1,3/4/15,United Kingdom,eCommerce/Marketplace,"The Bower 211 Old Street, London, EC1V 9NR",51.5259015,-0.0891304,"Advent Venture Partners, Index Ventures, e.ventures"
POWA Technologies,2.7,11/7/14,United Kingdom,Fintech,"110 Bishopsgate, London EC2 4AY, United Kingdom",51.5162237,-0.0809563,"Bright Station Ventures, Wellington Management"
TransferWise,1,1/26/15,United Kingdom,Fintech,"186-188 City Rd, London EC1V 2NT, United Kingdom",51.5277262,-0.0904586,"IA Ventures, Index Ventures, SV Angel"
Funding Circle,1,4/23/15,United Kingdom,Fintech,"747 Front St, San Francisco, CA 94111",37.7984275,-122.4001839,"Accel Partners, Index Ventures, Ribbit Capital"
Shazam,1,1/20/15,United Kingdom,Mobile Software & Services,"26-28 Hammersmith Grove, London W6, United Kingdom",51.4950275,-0.2258234,"IDG Ventures, Kleiner Perkins Caufield & Byers, Buran Venture Capital"
Appnexus,1.2,8/18/14,United States,Adtech,"28 West 23rd Street, New York, 4th Floor NY 10010",40.7416251,-73.9909905,"Khosla Ventures, Technology Crossover Ventures, Tribeca Venture Partners"
Palantir Technologies,20,5/5/11,United States,Big Data,"Palantir Technologies, University Avenue, Palo Alto, CA",37.4558088,-122.1512672,"RRE Ventures, Founders Fund, In-Q-Tel"
Cloudera,4.1,3/18/14,United States,Big Data,"433 California St #1100, San Francisco, CA 94104",37.792699,-122.4016842,"Greylock Partners, Ignition Partners, Google Ventures"
Nutanix,2,1/14/14,United States,Big Data,"1740 Technology Dr #150, San Jose, CA 95110",37.3676813,-121.9181258,"Battery Ventures, Khosla Ventures, Wellington Management"
Domo Technologies,2,4/8/15,United States,Big Data,"717 Market St, San Francisco, CA 94103",37.7868614,-122.4036958,"Institutional Venture Partners, Benchmark Capital, Founders Fund"
MongoDB,1.6,10/4/13,United States,Big Data,"100 Forest Ave, Palo Alto, CA 94301",37.4420407,-122.1611953,"Intel Capital, Salesforce Ventures, Union Square Ventures"
Insidesales.com,1.5,4/28/14,United States,Big Data,"1712 E Bay Blvd e100, Provo, UT 84606",40.2115218,-111.6536493,"Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers"
Mu Sigma,1.5,2/7/13,United States,Big Data,"3400 Dundee Rd, Suite 160 Northbrook, IL 60062",42.1388992,-87.8627031,"Sequoia Capital, General Atlantic"
Deem,1.35,11/15/11,United States,Big Data,"21st Floor, 301 Howard St, San Francisco, CA 94105",37.789527,-122.3942765,"Empire Ventures, Foundational Capital, Oak Investment Partners"
Uptake,1.1,10/27/15,United States,Big Data,"600 W Chicago Ave #775, Chicago, IL 60654",41.8975185,-87.643978,"GreatPoint Ventures, New Enterprise Associates, Caterpillar"
Actifio,1.1,3/24/14,United States,Big Data,"333 Wyman Street, Waltham, MA 02451 USA",42.4079058,-71.2551869,"Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures"
AppDynamics,1,7/22/14,United States,Big Data,"303 2nd St, San Francisco, CA 94107",37.7852332,-122.3956934,"Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners"
SimpliVity,1,3/10/15,United States,Big Data,"8 Technology Dr, Westborough, MA 01581",42.2917652,-71.5729066,"Accel Partners, Swisscom Ventures, Meritech Capital Partners"
Qualtrics,1,9/24/14,United States,Big Data,"400 Qualtrics Dr, Provo, UT 84604",40.3009588,-111.6647923,"Accel Partners, Insight Venture Partners, Sequoia Capital"
MarkLogic,1,5/12/15,United States,Big Data,"999 Skyway Rd #200, San Carlos, CA 94070",37.5072639,-122.2470559,"Sequoia Capital, Tenaya Capital, Northgate Capital"
Tanium,3.5,3/31/15,United States,Cybersecurity,"2200 Powell St, Emeryville, CA 94608",37.8387147,-122.3017029,"Andreessen Horowitz, Nor-Cal Invest"
Okta,1.2,9/8/15,United States,Cybersecurity,"301 Brannan St, San Francisco, CA 94107",37.781405,-122.3921786,"Andreessen Horowitz, Floodgate, Sequoia Capital"
CloudFlare,1,12/1/12,United States,Cybersecurity,"665 3rd St #200 Townsend St, San Francisco, CA 94107, United States",37.7789009,-122.393248,"New Enterprise Associates, Pelion Venture Partners, Union Square Ventures"
Lookout,1,8/13/14,United States,Cybersecurity,"1 Front St #2700, San Francisco, CA 94107",37.7918848,-122.3987815,"Accel Partners, Greylock Partners, Lowercase Capital"
Illumio,1,4/14/14,United States,Cybersecurity,"160 San Gabriel Dr, Sunnyvale, CA 94086",37.3767054,-122.0152692,"Data Collective, Formation 8, General Catalyst Partners"
Zscaler,1,8/3/15,United States,Cybersecurity,"110 Rose Orchard Way, San Jose, CA 95134",37.4159574,-121.9479801,"TPG Growth, Lightspeed Venture Partners"
Airbnb,25.5,7/26/11,United States,eCommerce/Marketplace,"Airbnb HQ, Brannan Street, San Francisco, CA",37.7770589,-122.3981031,"General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures"
Fanatics,3.1,6/6/12,United States,eCommerce/Marketplace,"725 Landwehr Rd, Northbrook, IL 60062",42.1421691,-87.860898,"Insight Venture Partners, Andreessen Horowitz, Temasek Holdings"
ContextLogic (dba. Wish),3,5/18/15,United States,eCommerce/Marketplace,"1 Sansome St. 40th Floor, San Francisco, CA 94104",37.790367,-122.4013458,"Founders Fund, GGV Capital, Digital Sky Technologies"
Houzz,2.3,9/30/14,United States,eCommerce/Marketplace,"310 University Ave, Palo Alto, CA 94301",37.4460108,-122.1612414,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
Blue Apron,2,6/9/15,United States,eCommerce/Marketplace,"3151 Regatta Blvd, Richmond, CA 94804",37.9202517,-122.3388827,"Bessemer Venture Partners, First Round Capital, BoxGroup"
The Honest Company,1.7,8/13/15,United States,eCommerce/Marketplace,"2700 Pennsylvania Ave Suite 1200, Santa Monica, CA 90404",34.0300029,-118.4689268,"General Catalyst Partners, Iconiq Capital, Lightspeed Venture Partners"
